func,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
dark_iron_oxidation,0.001436823,0,0,0.001449675,0,0,0,0.02738547,0,0.003585772,0.003985969,0,0.086433297,1.320792475,0.030144997,0.177155161,0,0.003118179,0.010651329,0.356818869,0.163528477,0.336111858,0,0.006391001,0.067601457,0.003535568,0,0.062797165,0,0.069055882,0.057615914,0.015512895,0.979908086,0.198836439,0.140396855,0.187011221
iron_respiration,0.538808586,0.001420737,0.001437939,0,0,0,0.137034745,0.17604945,0.250543632,0.114744693,0.135522959,0.00386578,0,0,0.012057999,0.019078248,0,0.012472716,15.51898599,13.54702147,12.60103724,1.646948104,2.076322306,1.578577363,0.002180692,0.003535568,0,0.005980682,0,0.001770664,3.220426358,5.243358542,5.537620115,3.652699021,2.46474479,1.254675281
nitrate_reduction,7.207103652,20.24124116,19.83780053,16.88580914,14.867604,10.98278588,3.288833879,1.005437972,6.362862816,1.810814687,5.847417092,2.002474099,8.124729896,4.071014037,6.125463479,6.81638549,1.616517286,6.959775491,2.252756031,3.265799819,3.326636453,1.398225329,0.793701187,1.246245287,20.60754083,6.65747419,1.311430149,0.768517688,22.67885334,3.746724272,19.56211905,18.26643397,12.64765088,6.646292069,10.71695994,8.126487589
fumarate_respiration,0,0,0,0,0,0,0,0,0,0,0,0,0.029919218,0,0.159768486,0,0.024007682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030324165,0,0,0,0.00311993,0.006800408
intracellular_parasites,0,0.937686472,0.001437939,0.053637958,0.0016087,0.004391358,0.495093272,0.512499511,0.43017869,1.36259323,0.988520408,2.02566878,0,0,0,0.098116704,0.040012804,0,2.556318901,2.697308739,1.102649161,1.794837322,2.108070354,3.054898703,0,0,0,0,0,0,0.291111987,0.364553035,0.277260815,0.497091097,0.982777986,0.836450187
chlorate_reducers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predatory_or_exoparasitic,0.278743642,0.001420737,0,0,1.393134069,0.002195679,0.610025639,0.293415751,0.165453342,0.10757315,0.422512755,0.564403897,1.861640238,0.5946425,0.250203479,0.01362732,0.016005122,2.257561584,0.750918677,1.318415482,0.864364809,1.532670073,1.631849641,0.894740206,0.023987614,5.441238863,0.006902264,0.008971024,0.024096386,24.86542956,0.427570731,0.333527245,0.922936686,0.497091097,0.755023087,1.030261816
chloroplasts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nonphotosynthetic_cyanobacteria,0,0,0,0,0,0,0,0.01564884,0.018908953,0.089644291,0.035873724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plastic_degradation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ureolysis,0.012931406,0.00994516,0.250201311,0.004349024,0,0.013174073,2.236760675,1.494464223,1.80107781,1.674555364,2.909757653,1.577238287,2.233968286,2.232768232,4.82922859,2.349349977,0.176056338,2.768942937,1.347393087,1.282128818,4.518058216,0.94783544,0.971490253,1.290982297,5.532415989,0.685900156,5.822059636,0.209323884,0.64894059,5.836107373,3.296236771,2.741904208,6.908731817,12.21371235,3.194808436,3.155389323
reductive_acetogenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
